403,YTN,040300,2025-07-13 08:59:06
404,YW,051390,2025-07-13 08:59:09
405,iMBC,052220,2025-07-13 08:59:10
406,iM금융지주,139130,2025-07-13 08:59:15
407,가비아,079940,2025-07-13 08:59:18
408,가온그룹,078890,2025-07-13 08:59:22
409,가온전선,000500,2025-07-13 08:59:27
410,가온칩스,399720,2025-07-13 08:59:30
411,가이아코퍼레이션,296520,2025-07-13 08:59:36
412,감성코퍼레이션,036620,2025-07-13 08:59:40
413,강남제비스코,000860,2025-07-13 08:59:44
414,강동씨앤엘,198440,2025-07-13 08:59:49
415,강스템바이오텍,217730,2025-07-13 08:59:55
416,강원랜드,035250,2025-07-13 09:00:01
417,강원에너지,114190,2025-07-13 09:00:05
418,갤럭시아머니트리,094480,2025-07-13 09:00:07
419,갤럭시아에스엠,011420,2025-07-13 09:00:10
420,거북선1호선박투자회사,092970,2025-07-13 09:00:12
421,거북선2호선박투자회사,101380,2025-07-13 09:00:14
422,거북선3호선박투자회사,102000,2025-07-13 09:00:15
423,거북선4호선박투자회사,108890,2025-07-13 09:00:18
424,거북선5호선박투자회사,114130,2025-07-13 09:00:20
425,거북선6호선박투자회사,114140,2025-07-13 09:00:23
426,거북선7호선박투자회사,134000,2025-07-13 09:00:26
427,경남모직,001670,2025-07-13 09:00:32
428,경남스틸,039240,2025-07-13 09:00:36
429,경남제약,053950,2025-07-13 09:00:40
430,경농,002100,2025-07-13 09:00:44
431,경동나비엔,009450,2025-07-13 09:00:49
432,경동도시가스,267290,2025-07-13 09:00:52
433,경동인베스트,012320,2025-07-13 09:00:55
434,경동제약,011040,2025-07-13 09:01:00
435,경방,000050,2025-07-13 09:01:03
436,경보제약,214390,2025-07-13 09:01:06
437,경윤하이드로에너지,019120,2025-07-13 09:01:07
438,경인양행,012610,2025-07-13 09:01:11
439,경인전자,009140,2025-07-13 09:01:14
440,경창산업,024910,2025-07-13 09:01:17
441,계룡건설산업,013580,2025-07-13 09:01:21
442,계양전기,012200,2025-07-13 09:01:22
443,계양전기우,012205,2025-07-13 09:01:25
444,고려개발,004200,2025-07-13 09:01:30
445,고려산업,002140,2025-07-13 09:01:33
446,고려시멘트,003660,2025-07-13 09:01:36
447,고려신용정보,049720,2025-07-13 09:01:38
448,고려아연,010130,2025-07-13 09:01:39
449,고려제강,002240,2025-07-13 09:01:41
450,고려제약,014570,2025-07-13 09:01:44
451,고바이오랩,348150,2025-07-13 09:01:46
452,고스트스튜디오,950190,2025-07-13 09:01:48
453,고영,098460,2025-07-13 09:01:50
454,고제,002540,2025-07-13 09:01:52
455,골드앤에스,035290,2025-07-13 09:01:54
